Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1
Flight1, DOMESTIC, 04:53,-9,0,9,0,2,147,31
Flight2, DOMESTIC, 04:22,-9,0,9,0,5,85,43
Flight3, DOMESTIC, 04:47,-9,0,9,0,9,86,31
Flight4, DOMESTIC, 04:30,-9,0,9,0,3,117,38
Flight5, DOMESTIC, 04:11,-9,0,9,0,3,125,41
Flight6, DOMESTIC, 04:23,-9,0,9,0,3,51,41
Flight7, DOMESTIC, 04:09,-9,0,9,0,6,108,48
Flight8, DOMESTIC, 04:40,-9,0,9,0,2,99,40
Flight9, DOMESTIC, 04:43,-9,0,9,0,7,116,45
Flight10, DOMESTIC, 04:29,-9,0,9,0,4,99,35
Flight11, DOMESTIC, 04:43,-9,0,9,0,6,115,36
Flight12, DOMESTIC, 04:07,-9,0,9,0,3,55,39
Flight13, DOMESTIC, 04:32,-9,0,9,0,4,102,27
Flight14, DOMESTIC, 04:03,-9,0,9,0,6,82,44
Flight15, DOMESTIC, 04:37,-9,0,9,0,6,141,46
Flight16, DOMESTIC, 04:20,-9,0,9,0,9,66,33
Flight17, DOMESTIC, 04:16,-9,0,9,0,7,93,42
Flight18, DOMESTIC, 04:48,-9,0,9,0,5,128,29
Flight19, DOMESTIC, 04:28,-9,0,9,0,3,68,31
Flight20, DOMESTIC, 04:49,-9,0,9,0,8,132,38
Flight21, DOMESTIC, 04:13,-9,0,9,0,1,129,31
Flight22, DOMESTIC, 04:13,-9,0,9,0,6,128,25
Flight23, DOMESTIC, 04:50,-9,0,9,0,5,60,31
Flight24, DOMESTIC, 04:09,-9,0,9,0,9,55,35
Flight25, DOMESTIC, 04:53,-9,0,9,0,3,143,30
Flight26, DOMESTIC, 04:37,-9,0,9,0,4,85,39
Flight27, DOMESTIC, 04:33,-9,0,9,0,8,142,43
Flight28, DOMESTIC, 04:49,-9,0,9,0,5,141,38
Flight29, DOMESTIC, 04:23,-9,0,9,0,6,58,39
Flight30, DOMESTIC, 04:06,-9,0,9,0,6,140,46
