Description, FlightType, DepartureTime, DefUncov, DefCov, AttUncov, AttCov, SELECTEE, UNKNOWN, LOWRISK1, LOWRISK2, LOWRISK3, LOWRISK4
Flight1, DOMESTIC, 04:54, -8, 0, 8, 0, 5, 100, 47, 9, 5, 1
Flight2, DOMESTIC, 04:50, -8, 0, 8, 0, 9, 72, 49, 8, 1, 3
Flight3, DOMESTIC, 04:26, -8, 0, 8, 0, 3, 87, 44, 6, 1, 8
Flight4, DOMESTIC, 04:14, -9, 0, 9, 0, 1, 138, 35, 16, 3, 8
Flight5, DOMESTIC, 04:07, -9, 0, 9, 0, 2, 67, 37, 24, 7, 3
Flight6, DOMESTIC, 04:43, -3, 0, 3, 0, 5, 117, 33, 14, 8, 3
Flight7, DOMESTIC, 04:50, -2, 0, 2, 0, 1, 113, 49, 16, 2, 7
Flight8, DOMESTIC, 04:59, -1, 0, 1, 0, 2, 99, 47, 19, 5, 1
Flight9, DOMESTIC, 04:12, -9, 0, 9, 0, 4, 94, 27, 18, 1, 7
Flight10, DOMESTIC, 04:48, -5, 0, 5, 0, 8, 69, 40, 13, 4, 4
Flight11, DOMESTIC, 04:20, -5, 0, 5, 0, 9, 74, 32, 7, 4, 5
Flight12, DOMESTIC, 04:09, -9, 0, 9, 0, 5, 54, 31, 18, 1, 2
Flight13, DOMESTIC, 04:31, -8, 0, 8, 0, 7, 72, 35, 10, 6, 5
Flight14, DOMESTIC, 04:02, -1, 0, 1, 0, 9, 83, 25, 23, 9, 8
Flight15, DOMESTIC, 04:31, -6, 0, 6, 0, 5, 76, 35, 10, 3, 1
Flight16, DOMESTIC, 04:15, -2, 0, 2, 0, 9, 141, 39, 15, 4, 2
Flight17, DOMESTIC, 04:39, -7, 0, 7, 0, 4, 67, 37, 23, 1, 6
Flight18, DOMESTIC, 04:27, -9, 0, 9, 0, 8, 128, 43, 17, 9, 4
Flight19, DOMESTIC, 04:35, -6, 0, 6, 0, 6, 94, 26, 24, 4, 4
Flight20, DOMESTIC, 04:56, -6, 0, 6, 0, 2, 58, 29, 11, 2, 3
Flight21, DOMESTIC, 04:41, -4, 0, 4, 0, 4, 142, 42, 22, 2, 9
Flight22, DOMESTIC, 04:37, -1, 0, 1, 0, 6, 123, 45, 24, 5, 3
Flight23, DOMESTIC, 04:41, -8, 0, 8, 0, 6, 64, 40, 15, 6, 4
Flight24, DOMESTIC, 04:58, -8, 0, 8, 0, 1, 122, 30, 19, 7, 3
Flight25, DOMESTIC, 04:49, -9, 0, 9, 0, 7, 59, 45, 15, 9, 3
Flight26, DOMESTIC, 04:03, -3, 0, 3, 0, 8, 69, 44, 16, 3, 8
Flight27, DOMESTIC, 04:55, -5, 0, 5, 0, 4, 77, 35, 12, 2, 8
Flight28, DOMESTIC, 04:24, -4, 0, 4, 0, 7, 51, 46, 16, 2, 6
Flight29, DOMESTIC, 04:30, -6, 0, 6, 0, 5, 124, 28, 10, 5, 1
Flight30, DOMESTIC, 04:42, -2, 0, 2, 0, 7, 114, 35, 14, 8, 1
