TimeWindow, Flight, RiskCategory, O1, O2
0, Flight1, SELECTEE, -1.0E8, -1.0E8
0, Flight1, UNKNOWN, -1.0E8, -1.0E8
0, Flight1, LOWRISK1, -1.0E8, -1.0E8
0, Flight2, SELECTEE, -1.0E8, -1.0E8
0, Flight2, UNKNOWN, -1.0E8, -1.0E8
0, Flight2, LOWRISK1, -1.0E8, -1.0E8
0, Flight3, SELECTEE, -1.0E8, -1.0E8
0, Flight3, UNKNOWN, -1.0E8, -1.0E8
0, Flight3, LOWRISK1, -1.0E8, -1.0E8
0, Flight4, SELECTEE, -1.0E8, -1.0E8
0, Flight4, UNKNOWN, -1.0E8, -1.0E8
0, Flight4, LOWRISK1, -1.0E8, -1.0E8
0, Flight5, SELECTEE, -1.0E8, -1.0E8
0, Flight5, UNKNOWN, -1.0E8, -1.0E8
0, Flight5, LOWRISK1, -1.0E8, -1.0E8
0, Flight6, SELECTEE, -1.0E8, -1.0E8
0, Flight6, UNKNOWN, -1.0E8, -1.0E8
0, Flight6, LOWRISK1, -1.0E8, -1.0E8
0, Flight7, SELECTEE, -1.0E8, -1.0E8
0, Flight7, UNKNOWN, -1.0E8, -1.0E8
0, Flight7, LOWRISK1, -1.0E8, -1.0E8
0, Flight8, SELECTEE, -1.0E8, -1.0E8
0, Flight8, UNKNOWN, -1.0E8, -1.0E8
0, Flight8, LOWRISK1, -1.0E8, -1.0E8
0, Flight9, SELECTEE, -1.0E8, -1.0E8
0, Flight9, UNKNOWN, -1.0E8, -1.0E8
0, Flight9, LOWRISK1, -1.0E8, -1.0E8
0, Flight10, SELECTEE, -1.0E8, -1.0E8
0, Flight10, UNKNOWN, -1.0E8, -1.0E8
0, Flight10, LOWRISK1, -1.0E8, -1.0E8
60, Flight1, SELECTEE, -1.0E8, -1.0E8
60, Flight1, UNKNOWN, -1.0E8, -1.0E8
60, Flight1, LOWRISK1, -1.0E8, -1.0E8
60, Flight2, SELECTEE, -1.0E8, -1.0E8
60, Flight2, UNKNOWN, -1.0E8, -1.0E8
60, Flight2, LOWRISK1, -1.0E8, -1.0E8
60, Flight3, SELECTEE, -1.0E8, -1.0E8
60, Flight3, UNKNOWN, -1.0E8, -1.0E8
60, Flight3, LOWRISK1, -1.0E8, -1.0E8
60, Flight4, SELECTEE, -1.0E8, -1.0E8
60, Flight4, UNKNOWN, -1.0E8, -1.0E8
60, Flight4, LOWRISK1, -1.0E8, -1.0E8
60, Flight5, SELECTEE, -1.0E8, -1.0E8
60, Flight5, UNKNOWN, -1.0E8, -1.0E8
60, Flight5, LOWRISK1, -1.0E8, -1.0E8
60, Flight6, SELECTEE, -1.0E8, -1.0E8
60, Flight6, UNKNOWN, -1.0E8, -1.0E8
60, Flight6, LOWRISK1, -1.0E8, -1.0E8
60, Flight7, SELECTEE, -1.0E8, -1.0E8
60, Flight7, UNKNOWN, -1.0E8, -1.0E8
60, Flight7, LOWRISK1, -1.0E8, -1.0E8
60, Flight8, SELECTEE, -1.0E8, -1.0E8
60, Flight8, UNKNOWN, -1.0E8, -1.0E8
60, Flight8, LOWRISK1, -1.0E8, -1.0E8
60, Flight9, SELECTEE, -1.0E8, -1.0E8
60, Flight9, UNKNOWN, -1.0E8, -1.0E8
60, Flight9, LOWRISK1, -1.0E8, -1.0E8
