TimeWindow, Subwindow, Flight, RiskCategory, O1, O2
10, 0, Flight1, SELECTEE, -0.036554662892869474, 0.036554662892869474
10, 0, Flight1, UNKNOWN, 1.9870291432509435E-15, -1.9870291432509435E-15
10, 0, Flight1, LOWRISK1, -3.0971980792903315E-15, 3.0971980792903315E-15
10, 0, Flight2, SELECTEE, 8.16714710985032E-15, -8.16714710985032E-15
10, 0, Flight2, UNKNOWN, 1.3945950846312213E-15, -1.3945950846312213E-15
10, 0, Flight2, LOWRISK1, -1.6092132849872222E-15, 1.6092132849872222E-15
10, 0, Flight3, SELECTEE, 4.281392783520847E-15, -4.281392783520847E-15
10, 0, Flight3, UNKNOWN, 8.630092116555178E-16, -8.630092116555178E-16
10, 0, Flight3, LOWRISK1, -4.818437832497523E-15, 4.818437832497523E-15
10, 0, Flight4, SELECTEE, -1.765974868060388E-14, 1.765974868060388E-14
10, 0, Flight4, UNKNOWN, 2.780292944409504E-15, -2.780292944409504E-15
10, 0, Flight4, LOWRISK1, -4.370695517725905E-15, 4.370695517725905E-15
10, 0, Flight5, SELECTEE, -1.765974868060388E-14, 1.765974868060388E-14
10, 0, Flight5, UNKNOWN, -4.047676367703773E-16, 4.047676367703773E-16
10, 0, Flight5, LOWRISK1, -1.1061446559639559E-15, 1.1061446559639559E-15
10, 0, Flight6, SELECTEE, -2.702933041468398E-14, 2.702933041468398E-14
10, 0, Flight6, UNKNOWN, -1.0856503502064977E-15, 1.0856503502064977E-15
10, 0, Flight6, LOWRISK1, 1.6343242454819458E-15, -1.6343242454819458E-15
10, 0, Flight7, SELECTEE, -1.0237135762778434E-17, 1.0237135762778434E-17
10, 0, Flight7, UNKNOWN, 8.049144793563878E-16, -8.049144793563878E-16
10, 0, Flight7, LOWRISK1, -2.043650296478082E-15, 2.043650296478082E-15
10, 0, Flight8, SELECTEE, -0.036554662892869474, 0.036554662892869474
10, 0, Flight8, UNKNOWN, 9.957334947514987E-17, -9.957334947514987E-17
10, 0, Flight8, LOWRISK1, 5.996136802747239E-15, -5.996136802747239E-15
10, 0, Flight9, SELECTEE, 4.9938638390416424E-15, -4.9938638390416424E-15
10, 0, Flight9, UNKNOWN, 5.332852820667963E-16, -5.332852820667963E-16
10, 0, Flight9, LOWRISK1, -1.4328523664336596E-15, 1.4328523664336596E-15
10, 0, Flight10, SELECTEE, 9.799967126657706E-15, -9.799967126657706E-15
10, 0, Flight10, UNKNOWN, -1.86103235593004E-15, 1.86103235593004E-15
10, 0, Flight10, LOWRISK1, -9.024838261797385E-16, 9.024838261797385E-16
10, 0, Flight11, SELECTEE, 1.6057981110416924E-14, -1.6057981110416924E-14
10, 0, Flight11, UNKNOWN, 1.9244207884425934E-15, -1.9244207884425934E-15
10, 0, Flight11, LOWRISK1, 3.862310746117846E-15, -3.862310746117846E-15
10, 0, Flight12, SELECTEE, 4.3526550345655424E-14, -4.3526550345655424E-14
10, 0, Flight12, UNKNOWN, 5.288312340462344E-16, -5.288312340462344E-16
